index,股票名称,发布时间,清洗后评论,情感,事件类型,置信度,关键词
846,奥克股份,2026/11/24 12:50,A大盘指数将超跌反弹……这潜力类品种加油!,积极,市场情绪,2,超跌反弹、乐观
847,奥克股份,2026/11/23 10:40,"不要说话,本群低调,懂的自然懂,请闷声发财!",中性,其他,2,低调、闷声发财
848,奥克股份,2026/11/23 6:59,作为周五两市当日涨幅榜排第一的股票下周肯定有溢价,积极,市场情绪,2,涨幅第一、溢价
849,奥克股份,2026/11/23 10:31,"有史天量成交,正好在前期套牢密集区,大势下跌,又见华鑫量化,大家都乐观,作为散户",中性,其他,2,套牢区、量化、散户
850,奥克股份,2026/11/23 6:57,"还是飞了华为的硫化物电解质路线,会有溢出效应",中性,其他,2,"华为, 硫化物电解质, 溢出效应"
851,奥克股份,2026/11/23 5:33,"拉20厘米,又碰上跳水,这啥命运啊!挺住啊!",消极,市场情绪,3,"跳水, 命运, 挺住"
852,奥克股份,2026/11/22 11:02,"还下周不跌停就好事了,你们一个个的没看龙虎榜吗?华鑫证券上海分公司量化打板,这票",消极,市场情绪,3,"跌停, 龙虎榜, 量化打板"
853,奥克股份,2026/11/23 2:12,"下星期走势,只担心的是哪个董秘又冒出来。",中性,管理层,2,"董秘, 出现"
854,奥克股份,2026/11/22 9:44,今天啥情况?,中性,其他,3,"今天, 情况"
855,奥克股份,2026/11/23 9:19,下周一继续涨停。,积极,市场情绪,3,牛市、涨停、收益丰厚
856,奥克股份,2026/11/22 9:58,"突发爆跌,由外围市场引发,A股机构不作为,反手做空,尤其是证券、保险、白酒领跌大",消极,市场情绪,3,爆跌、做空、领跌
857,奥克股份,2026/11/23 9:55,市场牛,积极,市场情绪,3,市场牛
858,奥克股份,2026/11/23 9:55,收益丰厚,积极,其他,3,收益丰厚
859,奥克股份,2026/11/23 9:22,"机构必抢,牛市来了名字带牛字的股票只有4只金牛化工",积极,市场情绪,3,牛市、牛字
860,奥克股份,2026/11/19 7:15,生物墨水-PEG是核心材料!!已有企业IPO!这个隐秘的生物赛道走到爆发前夜【详,积极,重大事项,3,IPO、生物赛道、爆发前夜
861,奥克股份,2026/11/21 11:36,真他M的出货了,消极,市场情绪,3,出货、愤怒
862,奥克股份,2026/11/22 11:00,股吧这么清净我就放心了,中性,市场情绪,2,股吧、清净
863,奥克股份,2026/11/22 3:27,"套了2年,今天终于解套了,赚个利息,全清仓了,后面爱咋滴就咋滴吧!",积极,业绩相关,3,解套、清仓
864,奥克股份,2026/11/22 1:24,"1.奥克股份的聚醚产品在做产能置换和升级,原来的地产和基建逐步底部反转2.PEO",中性,业绩相关,3,产能置换、升级、底部反转
865,奥克股份,2026/11/22 7:12,东北的票不能买呀,中性,其他,3,资金流向、大盘、概念
866,奥克股份,2026/11/22 9:28,周末消息发酵,中性,其他,3,周末消息
867,奥克股份,2026/11/22 8:54,"就这个资金流向,星期一如果大盘下跌,会不会逆大盘走自己的方向?",中性,市场情绪,3,大盘下跌、高溢价
868,奥克股份,2026/11/22 8:20,这股是炒什么概念的,中性,其他,3,资金流向、概念
869,奥克股份,2026/11/22 4:25,"大副流入,好事,星期一高溢价。",积极,市场情绪,3,大副流入、高溢价
870,奥克股份,2026/11/22 9:34,全散户韭菜不能买了赶紧跑,消极,市场情绪,3,散户、韭菜、赶紧跑
871,奥克股份,2026/11/22 6:02,不适合炒股,消极,其他,3,不适合炒股
872,奥克股份,2026/11/22 9:24,今天最少跌5个点,消极,市场情绪,3,最少跌5个点
873,奥克股份,2026/11/22 7:34,下周一直接顶一字,积极,市场情绪,3,一字、涨停
874,奥克股份,2026/11/22 4:39,"板块异动原因:固态电池;高工锂电:预计今年(半)固态电池出货量超7GWh,全固态",中性,行业政策,3,固态电池、高工锂电、出货量
875,奥克股份,2026/11/22 6:46,周一能跌吐血~,消极,市场情绪,3,周一能跌吐血
876,奥克股份,2026/11/22 4:19,周末有大消息,中性,重大事项,2,大消息
877,奥克股份,2026/11/22 6:18,"本金亏完了,模拟接着炒",消极,其他,3,本金亏完了
878,奥克股份,2026/11/22 6:11,"周一长上影,回调6元",中性,市场情绪,2,周一长上影
879,奥克股份,2026/11/22 5:46,国泰君安证券南京太平南路营业部今日净买入4743.71万,中性,其他,3,净买入
880,奥克股份,2026/11/22 5:12,"奥克股份当日收报8.62元,涨跌幅20.06%,换手率14.59%,成交额8.4",中性,业绩相关,3,"涨跌幅,20.06%,换手率14.59%"
881,奥克股份,2026/11/22 3:38,"猜一下蛇猫榜,至少一家量化+宜昌珍珠路,周一呵呵了",中性,其他,2,"量化,蛇猫榜,周一"
882,奥克股份,2026/11/22 2:27,"这是要干啥呢,一封一开,搞的紧张熙熙的",消极,市场情绪,2,"紧张,熙熙"
883,奥克股份,2026/11/15 3:31,奥克股份(300082.SZ):聚乙二醇产品目前主要应用于医药原料药、锂电新能源及日化等领域,中性,其他,3,"奥克股份,聚乙二醇,应用领域"
884,奥克股份,2026/11/22 12:07,"今日市场表现偏弱,连续4天的缩量振荡在继续,抱团股继续活跃,AI方向表现。指数大",中性,市场情绪,3,"市场偏弱,缩量震荡,抱团股,AI方向"
885,奥克股份,2026/11/22 3:15,"今天放了历史天量,巨量,有没有懂的人出了说说,是顶还是底。",消极,市场情绪,2,跳水、低开、卖出
886,奥克股份,2026/11/16 7:30,"信不信,这破股,就算本轮牛市完了,也不会有任何反弹。三海关的股少碰。",消极,市场情绪,3,天量、天量放量、牛市
887,奥克股份,2026/11/22 2:52,"奥克今天反复打开涨停,说明庄家封单实力软弱,定会影响周一走势,加上星期六,星期天",中性,市场情绪,2,涨停、庄家、封单
888,奥克股份,2026/11/22 12:56,"好不容易买到个涨停的。大盘突然跳水,会不会拉下来?老师们",消极,市场情绪,3,跳水、低开、大盘
889,奥克股份,2026/11/22 1:50,"明天低开,卖了",中性,其他,3,低开、卖出
890,奥克股份,2026/11/22 1:59,卖了。。反正明天也是跌。。,消极,市场情绪,3,大跌、封板、不顺利
891,奥克股份,2026/11/22 3:30,"面对三大指数大跌,还能涨停,实属不易。",积极,市场情绪,3,涨停、不易、三大指数大跌
892,奥克股份,2026/11/22 2:22,"哎!主力,下次封板时得查查黄历。真是生不逢时啊!",消极,市场情绪,3,封板、生不逢时、黄历
893,奥克股份,2026/11/22 3:26,"今天主力封板意愿很强,大盘下杀的同时,反反复复的开板,多的不说,有一句话古话说的",中性,市场情绪,3,封板、开板、大盘下杀
894,奥克股份,2026/11/22 2:58,"开板又封板,反反复复,到底是看好还是不看好",中性,市场情绪,3,封板、开板、看好
895,奥克股份,2026/11/22 2:11,还是日出东方靠谱这些3000的都靠不住,消极,市场情绪,3,封住、奇迹、出货
896,奥克股份,2026/11/22 2:30,是在出货吗,消极,市场情绪,3,出货
897,奥克股份,2026/11/22 3:10,希望连妖,积极,市场情绪,2,希望连妖
898,奥克股份,2026/11/22 3:08,"居然能封住,奇迹啊",积极,市场情绪,3,封住、奇迹
899,奥克股份,2026/11/22 2:00,"反复开板,前一次忍住,第二次忍住,第三次,假开,6000股全出清仓,不带这样吓人",消极,市场情绪,3,反复开板、出清仓
900,奥克股份,2026/11/22 1:36,"2个e就上板了,结果反复开板,板上出了5个e,这出的爽啊。",中性,市场情绪,2,涨停、开板、炸板
901,奥克股份,2026/11/22 2:20,"买的人这么多,不看好",消极,市场情绪,2,不看好、买的人多
902,奥克股份,2026/11/22 2:20,涨停你礼拜一也没溢价可能会被套低开砸你少幻想别害人韭菜精,消极,市场情绪,2,被套、韭菜
903,奥克股份,2026/11/22 2:19,"炸板了,快跑啊",消极,市场情绪,2,炸板、快跑
904,奥克股份,2026/11/22 2:19,"买的人这么多,估计不看好会涨",中性,市场情绪,2,买的人多、估计不看好
905,奥克股份,2026/11/22 2:14,"卖了,券商出老鼠仓了",消极,造假,3,老鼠仓
906,奥克股份,2026/11/22 2:13,以后不买3000全买0和63000很难出妖股,中性,市场情绪,2,妖股
907,奥克股份,2026/11/22 2:10,烂板上的好肉,消极,其他,2,烂板
908,奥克股份,2026/11/22 1:53,下个礼拜也是低开砸没有溢价了肯定的,消极,市场情绪,2,低开
909,奥克股份,2026/11/22 1:44,感谢分享,中性,其他,3,分享
910,奥克股份,2026/11/22 1:44,牛牛牛牛牛牛,积极,其他,3,牛牛牛
911,奥克股份,2026/11/22 1:43,仙人引路,中性,其他,3,仙人引路
912,奥克股份,2026/11/22 1:43,阶梯投资法,中性,其他,3,阶梯投资法
913,奥克股份,2026/11/22 1:42,四大指标,中性,其他,3,四大指标
914,奥克股份,2026/11/7 10:28,聚醚周期反转!固态电池核心材料起飞!,积极,行业政策,3,"固态电池, 周期反转, 核心材料"
915,奥克股份,2026/11/22 1:35,"有货的,抓紧卖,下周一补跌",消极,市场情绪,3,补跌、出货
916,奥克股份,2026/11/22 1:20,板上出货,消极,市场情绪,3,出货
917,奥克股份,2026/11/22 12:29,这股发行价85为啥显示最高价才32,中性,其他,3,发行价、最高价
918,奥克股份,2026/11/22 12:49,概念给力,积极,行业政策,2,概念
919,奥克股份,2026/11/22 12:48,概念效应,积极,行业政策,2,概念
920,奥克股份,2026/11/22 12:48,概念强势,中性,其他,3,概念强势
921,奥克股份,2026/11/22 12:46,谁接最后一棒?勇敢有担当?,中性,管理层,2,最后一棒
922,奥克股份,2026/11/22 12:18,"奥克啥都能做出来,就是还没做",消极,其他,3,奥克
923,奥克股份,2026/11/22 12:07,6.6犹豫没进,中性,其他,3,6.6犹豫
924,奥克股份,2026/11/22 11:53,买酒去。,中性,其他,3,买酒去
925,奥克股份,2026/11/22 11:20,"持有一千多天,总算看到有动作了……",积极,其他,3,持有一千多天、看到有动作、期待
926,奥克股份,2026/11/22 11:48,"奥克股份的固态电池概念,期待中。牛来了,牛发疯了,和女朋友来了,女朋友发疯了处理",积极,市场情绪,3,牛来了、冲进来
927,奥克股份,2026/11/22 11:46,好不容易又冲进来了,中性,其他,3,好不容易、冲进来了
928,奥克股份,2026/11/22 11:17,问老师可以出来去买福石控股有可能在来一扳吗?,中性,其他,3,福石控股、买、有机会
929,奥克股份,2026/11/22 11:11,江苏国泰呢?,中性,其他,3,江苏国泰、询问
930,奥克股份,2026/11/22 10:27,大家猜明天会不会连板,积极,市场情绪,3,涨停、连板、主升浪
931,奥克股份,2026/11/22 10:53,蠡湖股份 不比这股强N倍?,中性,其他,2,蠡湖股份、连板、比较
932,奥克股份,2026/11/22 10:47,牛逼。。。涨停突破。。主升浪行情,积极,市场情绪,3,涨停、突破、主升浪
933,奥克股份,2026/11/22 10:24,"八百多天了,还没解套呢11.2的本钱",消极,业绩相关,3,解套、本钱
934,奥克股份,2026/11/22 10:27,此股有百元股的内在,中性,其他,2,百元股、内在
935,奥克股份,2026/11/22 9:55,龙头三维化学又不是这个杂毛股,消极,市场情绪,3,抛压、炸板、低估值
936,奥克股份,2026/11/22 9:54,"有高手知道今天奥克为什么涨停吗?本人以为,此股八十多元跌到今天价位,已属低估值股",中性,市场情绪,2,涨停、低估值
937,奥克股份,2026/11/22 10:04,不会吧!我来你就炸板,消极,市场情绪,3,炸板
938,奥克股份,2026/11/22 9:47,抛压还是很重,消极,其他,2,抛压
939,奥克股份,2026/11/22 9:49,奥克顶起,积极,市场情绪,2,涨停
940,奥克股份,2026/11/22 9:44,13万股减仓到6万股。一口老血吐出,积极,业绩相关,3,减仓、回本、目标价
941,奥克股份,2026/11/22 9:39,终于把这些7.49的套牢民甩了浪费好多粮食,积极,市场情绪,3,套牢、甩套
942,奥克股份,2026/11/22 9:38,"一年了,整整一年了,大哥,我终于回本了",积极,业绩相关,3,回本
943,奥克股份,2026/11/22 9:42,九十个交易日目标价24.50元,中性,其他,3,目标价、固态电池、电解质聚合物
944,奥克股份,2026/11/22 9:15,"固态电池做电解质聚合物只有奥克股份,自己想想",中性,行业政策,2,固态电池、电解质聚合物
945,奥克股份,2026/11/22 9:40,"奥克从八十多元跌成如此,属严重低估股票,现在还有股民卖出,真不可理喻!",消极,市场情绪,3,下跌、惨烈、卖出
946,奥克股份,2026/11/22 9:37,说了是龙头,中性,其他,2,龙头
947,奥克股份,2026/11/22 9:33,全散户赶紧跑不能买了,消极,市场情绪,3,跑、不能买
948,奥克股份,2026/11/22 9:31,什么情况,中性,其他,3,什么情况
949,奥克股份,2026/11/22 9:22,这次下跌将很惨烈,消极,市场情绪,3,下跌、惨烈
950,奥克股份,2026/11/22 6:45,今天涨个20厘米吧,中性,市场情绪,3,行情、拉升、避雷针
951,奥克股份,2026/11/22 6:44,"别浪费好行情了,奥克你好好拉几个20厘米吧",中性,市场情绪,3,拉升、行情、量化机构
952,奥克股份,2026/11/21 4:10,"今天这个长上影,是避雷针还是仙人指路?有哪个高人指教一下。",中性,其他,3,长上影、避雷针、仙人指路
953,奥克股份,2026/11/21 3:17,"奥克实际流通盘也就1亿多股,3年一路下跌,获利最大的是量化机构,公司和散户都变成",中性,业绩相关,3,流通盘、下跌、量化机构
954,奥克股份,2026/11/21 1:14,7.49不知道有多少套牢民两次都在那被阻击,消极,市场情绪,3,套牢、阻击
955,奥克股份,2026/11/21 4:09,"这两天看盘面时间多了一点,有人说奥克会复制前三次拉高走势,我不置可否。奥克股份明",中性,市场情绪,2,追高、筹码、下跌预期
956,奥克股份,2026/11/21 5:10,"这次不同,无论周线月线股价在三线之上??收集的筹码已经很明显!",中性,市场情绪,2,走势、筹码、拉升
957,奥克股份,2026/11/21 2:03,今天谁追谁输,消极,市场情绪,3,追高、追涨
958,奥克股份,2026/11/20 6:17,"翻一倍都不可能,只有5~10倍才是大股东的期望!上次上30元,这次可以到60~1",中性,业绩相关,2,翻倍、市盈、大股东
959,奥克股份,2026/11/21 10:05,看图说话:明天九成跌,消极,市场情绪,3,下跌预期、九成跌
960,奥克股份,2026/11/21 11:16,出货出货了,消极,市场情绪,3,出货、套牢、成本价
961,奥克股份,2026/11/21 11:12,"乃的求你不攻在玩什么,快到我成本价了",消极,市场情绪,3,成本价、买不进、撤单
962,奥克股份,2026/11/21 11:03,这里套了2个亿。这个量还不足以突破压力。看来得缓冲一下了。看下午和明天了,消极,市场情绪,3,套了、压力位、缓冲
963,奥克股份,2026/11/21 10:52,今天是急拉缓跌是出货,消极,市场情绪,3,急拉缓跌、出货
964,奥克股份,2026/11/21 9:15,奥克股份有此被低估多少?肯定不止30。要知道当初一个dmc还亏本还跟在石大后面都,中性,其他,3,低估、被低估、DMC
965,奥克股份,2026/11/21 9:49,"完了,冲不过去",消极,市场情绪,3,冲不过去
966,奥克股份,2026/11/20 2:55,七块站稳行不行,中性,市场情绪,2,站稳
967,奥克股份,2026/11/20 9:31,"随便弄一家上市成功股票就涨到天上去了,纯属自娱自乐,不喜勿喷",消极,造假,3,自娱自乐
968,奥克股份,2026/11/20 3:01,"朱莉和散户都要本着一个道理:别让老鼠筹吃回去。老鼠筹同时损害朱莉和散户,现在奥克",消极,市场情绪,3,老鼠筹
969,奥克股份,2026/11/20 3:29,"固态锂电池都涨疯了,这货还在10月8号之前的价格下方磨叽昵,去看一下:粤桂股份,",中性,行业政策,2,固态锂电池
970,奥克股份,2026/11/15 3:49,"一买就如套,人才",消极,市场情绪,3,割韭菜、被套、情绪
971,奥克股份,2026/11/20 1:56,"现在市场又变了,容量票被抛弃了,现在又是炒小票,抱团小票死命往上干,跟熊市一样就",中性,市场情绪,2,市场变化、小票、抱团
972,奥克股份,2026/11/20 10:50,化学板块今天涨得等很好!为什么奥克没有动静?,中性,业绩相关,2,化学板块、奥克、上涨
973,奥克股份,2026/11/20 11:33,我以为涨停了呢,中性,其他,2,涨停、买不进
974,奥克股份,2026/11/20 10:31,"割一割,韭菜都开花了!老子被割,等孙子上门讨回来!",消极,市场情绪,3,割、韭菜、被割
975,奥克股份,2026/11/20 10:29,"把散户套30,还想要散户4元割韭菜根,狂妄之徒!悲惨的历史!",消极,市场情绪,3,套散户、回购、悲惨
976,奥克股份,2026/11/20 10:25,这股就是没有成交量,中性,其他,2,成交量
977,奥克股份,2026/11/20 10:06,装什么马上下来,消极,市场情绪,3,主力扎心、卖盘
978,奥克股份,2026/11/20 9:46,"这是在干啥子,那么大的卖盘啊",消极,市场情绪,3,卖盘、主力扎心
979,奥克股份,2026/11/20 9:04,"利好太多,主力扎心!涨到100元,大股东才想起来回购!让散户赚十倍!大股东人品一",消极,业绩相关,3,回购、大股东、散户
980,奥克股份,2026/11/19 9:24,"网友自己在提振对公司的信心,公司董秘对外又释放了一些什么积极的信号?公司身在资本",中性,管理层,2,"董秘,积极信号,提振信心"
981,奥克股份,2026/11/19 7:25,世界500强德国默克-PEG/PEO生物墨水行业介绍,中性,行业政策,2,"世界500强,默克,生物墨水"
982,奥克股份,2026/11/19 11:30,"不是不信任公司,公司大股东质押股份的合同有没有禁止质押股份用于转融通?",中性,监管,2,"质押股份,转融通,禁止条款"
983,奥克股份,2026/11/19 4:12,"下午出去玩没看结果回来说电池大涨突然奥克又跟电池有关系了你亲戚时有时无啊,大意嘛",中性,其他,2,"电池,大涨,关联性"
984,奥克股份,2026/11/19 1:50,这股跟si了一样,消极,市场情绪,3,跟si了一样
985,奥克股份,2026/11/19 11:30,"2024年到现在公开渠道可查的聚乙二醇标题专利就有233项,还不包括更多的内容含",中性,其他,2,"聚乙二醇,专利,价格差异"
986,奥克股份,2026/11/19 11:30,公司向集团提供哪种标准的聚乙二醇?为什么和提供给吉和昌的医用标准聚乙二醇价格相差,中性,其他,2,"聚乙二醇,标准,价格"
987,奥克股份,2026/11/19 10:15,下跌真的积极,消极,市场情绪,3,"下跌,补跌"
988,奥克股份,2026/11/19 9:36,"涨不过指数,跌的比指数猛,补涨没有,补跌是好手,奥克大帝你敢开个买空吗我买空不想",积极,市场情绪,2,"反弹,利好"
989,奥克股份,2026/11/19 4:59,JSGTGD密切观察……利好促进A潜力板块反弹幅度!,中性,市场情绪,2,"观察,反弹"
990,奥克股份,2026/11/18 4:57,"公司聚乙二醇已经成为公司转型主力产品,但是各交易软件上公司概念标签没有一个有关聚",消极,市场情绪,3,"高开低走,垃圾"
991,奥克股份,2026/11/18 5:51,"闷起脑壳买,绝对要涨的,已经全仓,坐等翻倍",积极,市场情绪,3,"全仓,翻倍"
993,奥克股份,2026/11/18 2:23,"大之资,涨不过指数,跌的指数猛天生逆骨不走寻常路",消极,市场情绪,3,"涨不过指数,逆骨"
994,奥克股份,2026/11/18 1:29,连续几天高开低走……垃圾,消极,业绩相关,2,连续几天高开低走
995,奥克股份,2026/11/17 7:37,"很多专家只看固态电池的正极和负极,其实固态电池最重要的是电解质,防火和能量密度都",中性,行业政策,3,市值管理14条
996,奥克股份,2026/11/18 10:46,"奥克股份的散户们急,但是主力和公司更急。朱建民都接受采访说电池材料盈利情况超好,",中性,业绩相关,3,电池材料盈利
997,奥克股份,2026/11/17 3:07,奥克股份连续3周融资净买入合计1221.94万元,中性,重大事项,3,融资净买入
998,奥克股份,2026/11/17 10:27,"市值管理14条出台,奥克董秘总该有所触动了吧,至少知道自己该干什么了吧",中性,行业政策,3,市值管理14条
999,奥克股份,2026/11/17 10:06,大股东肯定要回购了,中性,管理层,3,回购
1000,奥克股份,2026/11/15 8:37,"总结一下,奥克董秘太保守,不愿发表超预期的概念,说明机构还在吸筹区域",中性,管理层,3,董秘、保守、机构吸筹
1001,奥克股份,2026/11/14 11:07,这货是固态电池吗,中性,其他,3,固态电池
1002,奥克股份,2026/11/15 9:31,今天水下玩一天。也不知道哪来的那么多卖盘,消极,市场情绪,3,水下、卖盘
1003,奥克股份,2026/11/15 5:32,对董秘的回答云里雾里于是去问了ai:这个回答体现了公司对投资者提问的正式和专业的,中性,管理层,3,董秘、回答、专业
1004,奥克股份,2026/11/10 12:17,"我经常去化工区,1,看见奥克公司目前正在大兴土木,新建厂房。2,7月的某一天,我",中性,重大事项,3,新建厂房、大兴土木
1005,奥克股份,2026/11/16 4:37,"证监会说了,上市公司必要时采取积极措施提振投资者信心。",中性,监管,3,证监会、投资者信心、上市公司
1006,奥克股份,2026/11/15 8:02,",还在研发,打了电话给董秘。浪费大好固态电池行情",消极,业绩相关,2,研发浪费、固态电池行情
1007,奥克股份,2026/11/15 11:30,经问询相关科研单位和厂家1用于干细胞治疗的聚乙二醇分子量在2千到两万特定分子量纯,中性,其他,3,干细胞治疗、聚乙二醇、分子量
1008,奥克股份,2026/11/15 11:30,"朱总最近在成都提到电池材料给公司带来巨额收益,最近扭亏大会又提到转型加速,以上两",积极,业绩相关,3,扭亏、转型加速、电池材料收益
1009,奥克股份,2026/11/15 2:31,"这波行情,垃圾股,都翻了好几倍,你却。。。",消极,市场情绪,3,垃圾股、翻倍、失落情绪
1010,奥克股份,2026/11/15 2:17,"本身就没人买,这么搞更没人了,可能人家没那么高的心思吧,就是搞完手里的货就行,投",消极,市场情绪,2,没人买、撤不了单、情绪
1011,奥克股份,2026/11/15 11:30,"建议朱董事长开通微博,以方便投资者和消费者反映问题,也方便朱董事长了解外面意见建",中性,管理层,3,朱董事长、微博、投资者意见
1012,奥克股份,2026/11/15 11:30,"公司11日回复提到感谢投资者理解公司保密需要,那么请问公司客户将聚乙二醇用于生物",中性,其他,2,保密需要、聚乙二醇、生物
1013,奥克股份,2026/11/15 11:20,"固态电池很多大亏欠钱的股都涨停了,",积极,市场情绪,2,涨停、大亏钱、情绪
1014,奥克股份,2026/11/15 8:09,不用聚乙二醇或PEO的硫固态电池炸的更凶?,消极,行业政策,2,硫固态电池、PEO、炸
1015,奥克股份,2026/11/14 6:29,"哪个板块也不跟,自己就是低着头往下窜。",消极,市场情绪,3,退市、谨慎
1016,奥克股份,2026/11/14 2:14,"一种要退市的感觉,谨慎,没进来的谨慎观察。三思。",消极,市场情绪,3,退市、谨慎观察
1017,奥克股份,2026/11/14 9:40,刺激房地产正常奥克减水剂应该有所作为才对,中性,行业政策,2,房地产、奥克
1018,奥克股份,2026/11/12 7:26,":奥克股份是固体电池电解质基体PEO的A股唯一供应商,是能够提供各种分子量的PE",中性,其他,3,奥克、PEO、固体电池
1019,奥克股份,2026/11/14 9:53,"聚乙二醇,人形机器人皮肤的必需材料,龙头奥克何去何从?聚乙二醇在人形机器人应用中",中性,重大事项,3,人形机器人、聚乙二醇、奥克
1020,奥克股份,2026/11/13 9:57,"垃圾,最近牛市,没有一次涨停过!",消极,市场情绪,3,牛市、涨停、垃圾
1021,奥克股份,2026/11/13 4:47,"支棱一下吧,快五年了,支棱一下好吗?哪怕是早卸,支棱起来就行。",中性,市场情绪,2,支棱、牛市、卸
